#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18D20
#Date Time: 2020-09-17 16:15:27.334
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1.1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / 100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 2 (V),Math 1 (A)
-0.002017,-0.1850903374111937,-0.0001637756707454262
-0.00201575,-0.1777669689944098,-0.0001505029281820284
-0.0020145,-0.1667819163692389,-0.0001372301856186368
-0.00201325,-0.1521351795356662,-0.0001272756286960824
-0.002011999999999999,-0.1374884427020934,-0.0001140028861326802
-0.00201075,-0.1265033900769225,-0.0001040483292101364
-0.0020095,-0.1191800216601336,-9.409377228758059e-05
-0.00200825,-0.1081949690349628,-7.750284408334099e-05
-0.002007,-0.1045332848265708,-7.086647280164213e-05
-0.00200575,-0.08622486378461107,-6.091191587909384e-05
-0.0020045,-0.07157812695104326,-4.763917331569611e-05
-0.00200325,-0.0642547585342627,-3.768461639315235e-05
-0.002002,-0.05693139011747547,-2.44118738297501e-05
-0.002000749999999999,-0.04228465328390268,-1.113913126634936e-05
-0.0019995,-0.03129960065873182,-4.502759984653521e-06
-0.00199825,-0.01665286382516402,8.769982578744201e-06
-0.001997,-0.005667811199988177,1.872453950129249e-05
-0.00199575,0.008978925633579622,3.199728206469021e-05
-0.0019945,0.01264060984196991,3.863365334638606e-05
-0.00199325,0.02362566246714742,5.190639590978679e-05
-0.001992,0.03461071509231827,6.186095283233055e-05
-0.00199075,0.04925745192589107,7.513369539573281e-05
-0.0019895,0.06024250455107191,8.508825231828714e-05
-0.00198825,0.07122755717624277,9.836099488167882e-05
-0.001987,0.08953597821820251,0.0001049973661633777
-0.00198575,0.09685934663498641,0.0001215882943676248
-0.0019845,0.1078443992601623,0.0001315428512901731
-0.00198325,0.1151677676769428,0.0001448155938535648
-0.001982,0.129814504510514,0.0001514519651352697
-0.001980749999999999,0.1371378729273029,0.000164724707698672
-0.0019795,0.1481229255524737,0.0001746792646212157
-0.00197825,0.1627696623860482,0.0001879520071846195
-0.001977,0.1774163992196093,0.0002012247497480112
-0.00197575,0.1884014518447852,0.00020786112102971
-0.0019745,0.1957248202615691,0.0002211338635931077
-0.00197325,0.2067098728867449,0.0002377247917973549
-0.001972,0.2176949255119157,0.0002410429774382028
-0.00197075,0.2250182939287046,0.0002609520912833009
-0.001969499999999999,0.2396650307622791,0.0002675884625650058
-0.00196825,0.2543117675958402,0.0002808612051283975
-0.001967,0.2616351360126342,0.0002941339476917998
-0.00196575,0.2836052412629759,0.0003040885046143435
-0.0019645,0.2872669254713678,0.0003140430615368918
